WBAN,ICAO
35046,EGUN
35034,EGUL
35047,EGMH
16201,BIKF
34061,LFOE
34051,LFSL
34048,LFLX
13025,LERT
34113,KQNN
33308,LTAG
43216,RKSG
43219,RKJK
43318,RJSN
44402,RJSM
43313,RJTY
43321,RJTK
43319,RJTA
43324,RJOI
42204,RODN
42215,ROTM
42402,RJAO
70701,FJDG
93121,KNXP
13910,KDYS
3145,KNYL
26492,PATO
26558,PASK
27502,PABR
27503,PAWI
25715,PAAK
26645,PABL
27408,PAKU
26465,PAGB
27406,PASC
27401,PABA
26631,PALU
26623,PAPO
26649,PADG
26634,PATC
26625,PASH
102,PAIK
26624,PPIZ
26616,PAOT
26643,PADE
26648,PAWN
26642,PAVL
26542,PAKP
26551,PAFM
490,PAGH
26535,PAIM
26533,PABT
26529,PATA
26413,PFYU
46405,PARC
26422,PAEG
26628,PAGL
26617,PAOM
26647,PASM
26502,PAKV
26704,PASA
26703,PAGM
26627,PAUN
26644,PANV
26650,PAEM
26646,PACZ
26622,PAMY
26651,PAHP
26615,PABE
26501,PAGA
26602,PAKK
26510,PAMC
26536,PATL
26516,PANI
26443,PAWS
26534,PASV
26512,PAMH
26526,KPTI
26528,PATK
26514,PASW
26523,PAEN
26559,PASX
26435,PANN
96401,PAEC
25378,PAOH
26411,PAFA
26498,PAFB
104,PAFS
26561,PARY
105,PADM
46403,PAIN
26407,PAEI
26415,PABI
27518,PATQ
107,PANW
489,PAFR
26425,PAGK
46407,PAZK
26401,PAED
26491,PALH
26451,PANC
26409,PAMR
25331,PAAQ
26497,PABV
26479,PAVD
27517,PALP
26438,PAWD
26412,PAOR
26410,PACV
25623,PAEH
26521,PAHC
26652,PALG
26654,PARS
108,PACM
109,PAMB
26635,PAMO
26653,PAOO
110,PAOU
25521,PAIG
25713,PASN
25624,PACD
25617,PASD
25513,PADL
25503,PAKN
25508,PAPH
25518,PAJC
25519,PAII
25506,PAIL
26546,PALJ
26553,PASL
25507,PAHO
25402,PAMD
25501,PADQ
25604,PAPM
25629,PATG
25339,PAYA
25335,PAGY
25516,PASO
25323,PAHN
27515,PAQT
26552,PAHL
25322,PAGS
25333,PASI
25309,PAJN
25357,PAEL
25310,PAGN
25628,PAPB
25369,PAFE
25329,PAPG
25338,PAWG
25376,PAHY
25367,PAKW
25325,PAKT
25308,PANT
25377,PAMM
45715,PASY
25704,PADK
25616,PADU
113,PFNO
27201,CYSY
94234,CYAZ
94792,CYUL
54802,CWCJ
25343,CWJU
27202,CZCP
25272,CWPZ
26394,CWFO
53983,KAQO
54829,KVLL
63837,KHXD
4867,KC09
4868,KC75
3049,KE38
63884,KI16
63851,KM30
53996,KMEZ
54813,KP53
63835,KBIJ
4997,KHZX
63844,K1A5
53976,KXBP
94076,K20V
63833,KALX
54809,KASW
23224,KAUN
53882,KBGE
12982,KBKS
3044,KBPG
94282,KBVS
12981,KBYY
93799,KCPC
4872,KDUH
12983,KEBG
63843,KEHO
3704,KEMV
3705,KEYF
53969,KF05
3736,KFFA
4927,KFKA
4877,KFPK
3734,KFYJ
53977,KGDJ
53967,KGYI
3711,KHNZ
63836,KHQU
